datetime,wtr,DO_con
1995-05-09,11.3,10.8
1995-05-23,15.3,9.55
1995-06-06,22.4,13.25
1995-06-21,27.6,12.15
1995-07-07,20.9,8.05
1995-07-18,25.8,8.9
1995-08-02,26,7
1995-08-14,27.8,7.8
1995-08-30,26,9.05
1995-09-11,21.4,9
1995-09-25,16.4,8.05
1995-10-11,15.3,6.1
1995-10-25,11.8,8.45
1995-11-07,7.4,10.05
1995-11-22,3.7,13.85
1996-02-06,NA,13
1996-04-03,3.9,14.45
1996-04-16,5.6,13.5
1996-05-01,8.6,11
1996-05-14,10.7,9.25
1996-05-29,13.3,9.5
1996-06-10,16.1,8.4
1996-06-26,21.6,8.9
1996-07-09,23.5,10.55
1996-07-22,23.2,9.7
1996-08-05,23.6,9.5
1996-08-19,23.9,7.4
1996-09-05,26.1,7.35
1996-09-19,18.7,7.05
1996-10-16,14.7,9
1996-11-25,3.4,11.45
1997-01-14,0.2,13.15
1997-02-17,0.6,14.05
1997-04-09,5.8,12.8
1997-04-21,6.8,11.75
1997-05-01,9.2,11.35
1997-05-13,11.7,11
1997-05-28,13.3,11.5
1997-06-11,19.5,12.6
1997-06-25,24.9,9.7
1997-07-09,21.4,9.8
1997-07-24,27.2,12.5
1997-08-07,23.7,8.95
1997-08-18,21.9,7.9
1997-09-08,20.9,8.35
1997-09-30,17.9,6.4
1997-10-30,10.7,8.7
1997-11-25,3.8,11.05
1998-03-17,1,15.85
1998-04-13,8.6,11.55
1998-04-27,10.8,9.35
1998-05-11,17,10.15
1998-06-01,19.8,8.15
1998-06-08,18.1,9
1998-06-22,26,16
1998-07-06,24.5,6.85
1998-07-23,25.1,6.4
1998-08-02,25,10.05
1998-08-18,23.7,8.85
1998-09-02,23.3,7.6
1998-09-28,21,9.1
1998-10-27,13.5,9.4
1998-11-23,6.7,11.3
1999-01-27,0.3,13.95
1999-02-23,3.4,13.9
1999-03-29,5.2,14.7
1999-04-12,8.5,11.3
1999-04-26,11.2,10.45
1999-05-10,14,9.2
1999-05-26,16,8.9
1999-06-08,23.3,9.4
1999-06-21,23.2,12.1
1999-07-07,25.2,10.1
