datetime,wtr,DO_conc
8/9/2012 0:00,15.8,7.2
8/10/2012 0:00,16,6.8
8/11/2012 0:00,15.8,7.2
8/12/2012 0:00,17.2,6.9
8/13/2012 0:00,18.2,6.8
8/14/2012 0:00,18,6.7
8/15/2012 0:00,17.9,6.6
8/16/2012 0:00,17.8,6.8
8/17/2012 0:00,17.6,6
8/18/2012 0:00,17.5,7
8/19/2012 0:00,17.4,6.8
8/20/2012 0:00,17.2,6.8
8/21/2012 0:00,17.1,6.3
8/22/2012 0:00,17,6.6
8/23/2012 0:00,16.9,6.8
8/24/2012 0:00,16.7,6.3
8/25/2012 0:00,16.4,6.5
8/26/2012 0:00,16.1,6.8
8/27/2012 0:00,15.2,7.2
8/28/2012 0:00,14.7,7
8/29/2012 0:00,13.9,6.4
8/30/2012 0:00,13.9,6.6
8/31/2012 0:00,13.6,6.6
9/1/2012 0:00,13.6,6.6
9/2/2012 0:00,14.2,6.5
9/3/2012 0:00,13.8,6.7
9/4/2012 0:00,14.1,7.1
9/5/2012 0:00,13.4,7.7
9/6/2012 0:00,12.4,7.8
9/7/2012 0:00,12,8
9/8/2012 0:00,11.7,8
9/9/2012 0:00,11.3,8.1
9/10/2012 0:00,11.5,8.2
9/11/2012 0:00,11.7,8.3
9/12/2012 0:00,11.1,8.2
9/13/2012 0:00,10.8,8.1
9/14/2012 0:00,10.6,8.2
9/15/2012 0:00,10.5,8.4
9/16/2012 0:00,10.3,8.3
9/17/2012 0:00,10.1,8.5
9/18/2012 0:00,9.8,8.4
9/19/2012 0:00,9.7,8.5
9/20/2012 0:00,9.4,8.5
9/21/2012 0:00,8.9,8.3
9/22/2012 0:00,8.5,8.5
9/23/2012 0:00,8.1,8.4
9/24/2012 0:00,8.1,8.3
9/25/2012 0:00,7.9,8.4
9/26/2012 0:00,7.8,8.6
9/27/2012 0:00,7.8,8.6
9/28/2012 0:00,7.8,8.9
9/29/2012 0:00,7.8,8.9
9/30/2012 0:00,7.9,8.8
10/1/2012 0:00,8,9
10/2/2012 0:00,8,9.1
10/3/2012 0:00,7.8,9.1
10/4/2012 0:00,7.7,9.2
10/5/2012 0:00,7.5,9
10/6/2012 0:00,7.2,9.2
10/7/2012 0:00,6.8,9.3
10/8/2012 0:00,6.3,9.4
10/9/2012 0:00,6,9.3
10/10/2012 0:00,5.9,9.4
10/11/2012 0:00,5.6,9.4
10/12/2012 0:00,5.2,9.4
10/13/2012 0:00,5,9.5
10/14/2012 0:00,4.7,9.5
10/15/2012 0:00,4.2,9.6
10/16/2012 0:00,4,9.6
10/17/2012 0:00,4,9.5
10/18/2012 0:00,4,9.8
10/19/2012 0:00,4.1,9.7
10/20/2012 0:00,4,9.8
10/21/2012 0:00,4,9.8
10/22/2012 0:00,3.9,9.5
10/23/2012 0:00,3.6,9.7
10/24/2012 0:00,3.4,9
10/25/2012 0:00,3.4,9.8
10/26/2012 0:00,3.2,10
10/27/2012 0:00,3,10
10/28/2012 0:00,3,9.9
10/29/2012 0:00,3,9.7
10/30/2012 0:00,3,7.7
10/31/2012 0:00,3.1,7.3
11/1/2012 0:00,3.1,7.8
11/2/2012 0:00,3.1,7.5
11/3/2012 0:00,3.1,8.1
11/4/2012 0:00,3.1,6.4
11/5/2012 0:00,3,8.2
11/6/2012 0:00,3.1,7.1
11/7/2012 0:00,3.1,7.3
11/8/2012 0:00,3.1,6.4
11/9/2012 0:00,3.2,6.3
11/10/2012 0:00,3.2,7.2
11/11/2012 0:00,2.5,9.5
11/12/2012 0:00,2,10.3
11/13/2012 0:00,2.2,9
11/14/2012 0:00,2.5,8
11/15/2012 0:00,2.7,6.3
11/16/2012 0:00,2.8,6.3
11/17/2012 0:00,2.8,5.6
11/18/2012 0:00,2.9,6
11/19/2012 0:00,2.9,6
11/20/2012 0:00,2.9,7
11/21/2012 0:00,2.9,6.4
11/22/2012 0:00,2.4,6.8
11/23/2012 0:00,2.3,8.8
11/24/2012 0:00,2.2,9.6
11/25/2012 0:00,2.4,8.3
11/26/2012 0:00,2.5,5.3
11/27/2012 0:00,2.7,5.1
11/28/2012 0:00,2.7,4.6
11/29/2012 0:00,2.8,5.2
11/30/2012 0:00,2.8,5.5
12/1/2012 0:00,2.9,5.4
12/2/2012 0:00,2.8,5.9
12/3/2012 0:00,2.9,5.9
12/4/2012 0:00,2.9,5.8
12/5/2012 0:00,2.9,5.4
12/6/2012 0:00,2.9,5
12/7/2012 0:00,2.9,3.8
12/8/2012 0:00,2.9,4.6
12/9/2012 0:00,2.9,4.2
12/10/2012 0:00,2.8,4
12/11/2012 0:00,2.8,3.7
12/12/2012 0:00,2.8,4.1
12/13/2012 0:00,2.8,4
12/14/2012 0:00,2.8,3.6
12/15/2012 0:00,2.8,4.2
12/16/2012 0:00,2.8,3.5
12/17/2012 0:00,2.8,3.6
12/18/2012 0:00,2.8,3.9
12/19/2012 0:00,2.7,3.7
12/20/2012 0:00,2.7,3.7
12/21/2012 0:00,2.7,3.7
12/22/2012 0:00,2.7,3.9
12/23/2012 0:00,2.7,4
12/24/2012 0:00,2.7,3.8
12/25/2012 0:00,2.7,3.7
12/26/2012 0:00,2.7,3.8
12/27/2012 0:00,2.7,3.9
12/28/2012 0:00,2.7,3.9
12/29/2012 0:00,2.7,3.7
12/30/2012 0:00,2.6,3.5
12/31/2012 0:00,2.6,3.4
1/1/2013 0:00,2.6,3.6
1/2/2013 0:00,2.6,3.8
1/3/2013 0:00,2.6,3.8
1/4/2013 0:00,2.6,4
1/5/2013 0:00,2.6,3.7
1/6/2013 0:00,2.6,2.7
1/7/2013 0:00,2.6,3.4
1/8/2013 0:00,2.5,2.9
1/9/2013 0:00,2.5,3.1
1/10/2013 0:00,2.5,3.4
1/11/2013 0:00,2.5,2.9
1/12/2013 0:00,2.5,3.4
1/13/2013 0:00,2.5,3.3
1/14/2013 0:00,2.5,2.9
1/15/2013 0:00,2.6,3
1/16/2013 0:00,2.6,3.1
1/17/2013 0:00,2.7,3.3
1/18/2013 0:00,2.7,3.2
1/19/2013 0:00,2.6,3.2
1/20/2013 0:00,2.6,3.2
1/21/2013 0:00,2.6,3.1
1/22/2013 0:00,2.6,3.4
1/23/2013 0:00,2.6,3.2
1/24/2013 0:00,2.5,3.1
1/25/2013 0:00,2.5,3.3
1/26/2013 0:00,2.5,3.2
1/27/2013 0:00,2.5,3.1
1/28/2013 0:00,2.5,3.2
1/29/2013 0:00,2.5,3.1
1/30/2013 0:00,2.5,3.3
1/31/2013 0:00,2.5,3
2/1/2013 0:00,2.5,3.5
2/2/2013 0:00,2.5,3.6
2/3/2013 0:00,2.4,3.5
2/4/2013 0:00,2.4,3.5
2/5/2013 0:00,2.4,3.5
2/6/2013 0:00,2.4,3.5
2/7/2013 0:00,2.4,3.2
2/8/2013 0:00,2.4,3.2
2/9/2013 0:00,2.4,3.3
2/10/2013 0:00,2.4,3.3
2/11/2013 0:00,2.5,3.6
2/12/2013 0:00,2.4,3.6
2/13/2013 0:00,2.5,3.4
2/14/2013 0:00,2.5,3.4
2/15/2013 0:00,2.5,3.2
2/16/2013 0:00,2.5,3.1
2/17/2013 0:00,2.5,3
2/18/2013 0:00,2.4,2.9
2/19/2013 0:00,2.4,3.1
2/20/2013 0:00,2.4,3.1
2/21/2013 0:00,2.4,2.9
2/22/2013 0:00,2.4,2.9
2/23/2013 0:00,2.4,2.9
2/24/2013 0:00,2.4,3.1
2/25/2013 0:00,2.4,2.9
2/26/2013 0:00,2.4,3.2
2/27/2013 0:00,2.4,2.8
2/28/2013 0:00,2.4,3.1
3/1/2013 0:00,2.3,3.8
3/2/2013 0:00,2.3,2.8
3/3/2013 0:00,2.3,3.3
3/4/2013 0:00,2.3,2.8
3/5/2013 0:00,2.3,3.5
3/6/2013 0:00,2.3,3.4
3/7/2013 0:00,2.3,3
3/8/2013 0:00,2.2,3.1
3/9/2013 0:00,2.2,3.2
3/10/2013 0:00,2.2,3.1
3/11/2013 0:00,2.2,3.3
3/12/2013 0:00,2.2,3.1
3/13/2013 0:00,2.2,3.2
3/14/2013 0:00,2.2,3
3/15/2013 0:00,2.2,2.7
3/16/2013 0:00,2.2,2.7
3/17/2013 0:00,2.2,2.3
3/18/2013 0:00,2.2,2.2
3/19/2013 0:00,2.1,2.7
3/20/2013 0:00,2.1,2.1
3/21/2013 0:00,2.1,2.7
3/22/2013 0:00,2.1,3
3/23/2013 0:00,2.1,3.3
3/24/2013 0:00,2.1,3.2
3/25/2013 0:00,2.1,3
3/26/2013 0:00,2,3
3/27/2013 0:00,2,3
3/28/2013 0:00,2,2.9
3/29/2013 0:00,2.1,2.9
3/30/2013 0:00,2,2.9
3/31/2013 0:00,2,3
4/1/2013 0:00,2,2.6
4/2/2013 0:00,2,2.5
4/3/2013 0:00,2,2.5
4/4/2013 0:00,2,2.3
4/5/2013 0:00,2,2.8
4/6/2013 0:00,2,3.1
4/7/2013 0:00,2,2.6
4/8/2013 0:00,2,2.5
4/9/2013 0:00,2,2.8
4/10/2013 0:00,2,2.5
4/11/2013 0:00,2,2.3
4/12/2013 0:00,2,2.4
4/13/2013 0:00,2,2.5
4/14/2013 0:00,2,2.3
4/15/2013 0:00,2,2.3
4/16/2013 0:00,2,2.3
4/17/2013 0:00,1.9,2.9
4/18/2013 0:00,1.7,3
4/19/2013 0:00,1.4,3.5
4/20/2013 0:00,1,4.1
4/21/2013 0:00,0.9,4.6
4/22/2013 0:00,1.1,4.7
4/23/2013 0:00,1.2,5
4/24/2013 0:00,1.4,5.3
4/25/2013 0:00,1.5,5.3
4/26/2013 0:00,1.7,4.8
4/27/2013 0:00,2,4.9
4/28/2013 0:00,2.2,4.4
4/29/2013 0:00,2.3,4.9
4/30/2013 0:00,2.4,4.9
5/1/2013 0:00,2.7,4.6
5/2/2013 0:00,2.8,3.3
5/3/2013 0:00,3,4.2
5/4/2013 0:00,3.1,5
5/5/2013 0:00,3.2,5
5/6/2013 0:00,3.5,4.9
5/7/2013 0:00,4,5.1
5/8/2013 0:00,4.4,5.1
5/9/2013 0:00,4.2,5.9
5/10/2013 0:00,3.9,4.8
5/11/2013 0:00,4.1,6.5
5/12/2013 0:00,4.6,7
5/13/2013 0:00,4.7,8.2
5/14/2013 0:00,4.8,8.2
5/15/2013 0:00,5.1,8.7
5/16/2013 0:00,5.2,8.8
5/17/2013 0:00,5.5,8.4
5/18/2013 0:00,6.2,8.7
5/19/2013 0:00,7.8,9
5/20/2013 0:00,9.8,9.1
5/21/2013 0:00,11,8.8
5/22/2013 0:00,11.1,8.4
5/23/2013 0:00,9,9.1
5/24/2013 0:00,9,9.1
5/25/2013 0:00,8.8,9.4
5/26/2013 0:00,9.8,9.6
5/27/2013 0:00,11,9.5
5/28/2013 0:00,12.4,9
5/29/2013 0:00,11.4,9.3
5/30/2013 0:00,12.4,9.1
5/31/2013 0:00,12.7,9.1
6/1/2013 0:00,14.2,8.8
6/2/2013 0:00,14.7,8.7
6/3/2013 0:00,14,8.8
6/4/2013 0:00,13.7,8.9
6/5/2013 0:00,13.4,8.9
6/6/2013 0:00,13.8,8.8
6/7/2013 0:00,14.2,8.8
6/8/2013 0:00,14.4,8.9
6/9/2013 0:00,14.6,8.8
6/10/2013 0:00,14.2,8.7
6/11/2013 0:00,15.6,8.5
6/12/2013 0:00,16,8.3
6/13/2013 0:00,14.9,8.3
6/14/2013 0:00,14.9,8.4
6/15/2013 0:00,14.8,8.4
6/16/2013 0:00,15.3,8.2
6/17/2013 0:00,15.8,8.3
6/18/2013 0:00,16.4,8.1
6/19/2013 0:00,17.7,7.7
6/20/2013 0:00,18,7.6
6/21/2013 0:00,18.4,7.3
6/22/2013 0:00,17,7.4
6/23/2013 0:00,16,7.9
6/24/2013 0:00,15.3,7.7
6/25/2013 0:00,15.2,7.9
6/26/2013 0:00,15.3,8.1
6/27/2013 0:00,13.9,8
6/28/2013 0:00,13.8,8.1
6/29/2013 0:00,13.4,8.1
6/30/2013 0:00,13.2,8.1
7/1/2013 0:00,13.9,8.3
7/2/2013 0:00,14,8.3
7/3/2013 0:00,14.3,8.2
7/4/2013 0:00,14.2,8.2
7/5/2013 0:00,15.1,8.1
7/6/2013 0:00,15.9,8.1
7/7/2013 0:00,18.2,8
7/8/2013 0:00,16.9,8.1
7/9/2013 0:00,17.7,7.9
7/10/2013 0:00,16.6,7.9
7/11/2013 0:00,17.1,7.2
7/12/2013 0:00,18.2,6.2
7/13/2013 0:00,19.7,6.3
7/14/2013 0:00,18.4,7.1
7/15/2013 0:00,17.4,7.4
7/16/2013 0:00,16.6,6.6
7/17/2013 0:00,16.9,6.5
7/18/2013 0:00,17.1,6.8
7/19/2013 0:00,17.3,7.1
7/20/2013 0:00,17.9,6.8
7/21/2013 0:00,18.3,7.1
7/22/2013 0:00,19.9,7.3
7/23/2013 0:00,20.6,7
7/24/2013 0:00,20.7,6.8
7/25/2013 0:00,21,6.7
7/26/2013 0:00,21.4,6.7
7/27/2013 0:00,22.1,6.5
7/28/2013 0:00,21.6,6.3
7/29/2013 0:00,20.6,6
7/30/2013 0:00,20,6.5
7/31/2013 0:00,19.3,6.5
8/1/2013 0:00,18.7,6.6
8/2/2013 0:00,19.5,6.6
8/3/2013 0:00,19.3,6.6
8/4/2013 0:00,18.6,7
8/5/2013 0:00,18.3,7
8/6/2013 0:00,17.6,7.1
8/7/2013 0:00,17.2,7.2
8/8/2013 0:00,17.4,6.9
8/9/2013 0:00,16.9,6.8
8/10/2013 0:00,17,7.1
8/11/2013 0:00,16.8,7.1
8/12/2013 0:00,16.3,7.1
8/13/2013 0:00,15.7,7.3
8/14/2013 0:00,15,7.4
8/15/2013 0:00,15.9,7.2
8/16/2013 0:00,15.9,7.4
8/17/2013 0:00,15.6,7.2
8/18/2013 0:00,15.2,7.4
8/19/2013 0:00,14.7,7.6
