datetime,DOC
8/9/2012 0:00,10.53
8/13/2012 0:00,10.44
8/19/2012 0:00,9.99
8/26/2012 0:00,10.71
9/3/2012 0:00,10.89
9/10/2012 0:00,9.81
9/16/2012 0:00,9.54
9/25/2012 0:00,8.91
10/2/2012 0:00,9.81
10/7/2012 0:00,9.99
10/15/2012 0:00,10.17
10/21/2012 0:00,10.17
10/30/2012 0:00,10.8
11/4/2012 0:00,11.07
11/11/2012 0:00,10.35
11/18/2012 0:00,10.35
11/24/2012 0:00,9.54
12/3/2012 0:00,9.45
12/9/2012 0:00,10.26
12/16/2012 0:00,10.98
12/23/2012 0:00,10.89
12/30/2012 0:00,10.71
1/6/2013 0:00,10.35
1/15/2013 0:00,10.35
1/20/2013 0:00,10.08
1/27/2013 0:00,9.9
2/2/2013 0:00,10.62
2/4/2013 0:00,10.17
2/10/2013 0:00,9.36
2/18/2013 0:00,9.36
2/25/2013 0:00,9.45
3/3/2013 0:00,9.27
3/10/2013 0:00,9.9
3/17/2013 0:00,9.63
3/25/2013 0:00,9.18
4/1/2013 0:00,9.9
4/7/2013 0:00,9.99
4/14/2013 0:00,10.08
4/21/2013 0:00,9.9
4/29/2013 0:00,8.1
5/5/2013 0:00,7.56
5/12/2013 0:00,8.1
5/19/2013 0:00,8.01
5/26/2013 0:00,8.46
6/3/2013 0:00,9.27
6/9/2013 0:00,9.09
6/16/2013 0:00,8.91
6/23/2013 0:00,9.36
6/24/2013 0:00,9.9
6/30/2013 0:00,10.35
7/7/2013 0:00,10.26
7/14/2013 0:00,10.08
7/21/2013 0:00,9.99
7/29/2013 0:00,9.09
8/4/2013 0:00,9.18
8/11/2013 0:00,9.54
8/18/2013 0:00,11.52
8/25/2013 0:00,10.62
8/26/2013 0:00,10.8
