datetime,Volumen,FlowIn,FlowOut,HypoTemp,EpiTemp,TP,Chla,SW_DOC,Secchi
2012-08-09,454000,0.0902778,0.0902778,6.573229167,15.78708333,5,1.4,15.39,1.4
2012-08-10,454000,0.0774268,0.0774268,6.605458333,15.9778125,NA,NA,NA,1.4
2012-08-11,454000,0.0643546,0.0643546,6.566302083,15.78541667,NA,NA,NA,1.4
2012-08-12,454000,0.0530975,0.0530975,6.54925,17.1903125,NA,NA,NA,1.4
2012-08-13,454000,0.044289,0.044289,6.644843238,18.18066086,4,NA,NA,1.4
2012-08-14,454000,0.053483,0.053483,6.647489754,18.02446721,NA,NA,NA,1.4
2012-08-15,454000,0.0619417,0.0619417,6.65880123,17.89266393,NA,NA,NA,1.4
2012-08-16,454000,0.059277,0.059277,6.670112705,17.76086066,NA,NA,NA,1.4
2012-08-17,454000,0.0511364,0.0511364,6.68142418,17.62905738,NA,NA,NA,1.4
2012-08-18,454000,0.053948,0.053948,6.692735656,17.4972541,NA,NA,NA,1.4
2012-08-19,454000,0.0680003,0.0680003,6.704047131,17.36545082,6,NA,NA,1.4
2012-08-20,454000,0.0737665,0.0737665,6.715358607,17.23364754,NA,NA,NA,1.4
2012-08-21,454000,0.0922402,0.0922402,6.726670082,17.10184426,NA,NA,NA,1.4
2012-08-22,454000,0.0986689,0.0986689,6.737981557,16.97004098,NA,NA,NA,1.4
2012-08-23,454000,0.096077,0.096077,6.727119194,16.86561475,NA,NA,NA,1.4
2012-08-24,454000,0.1037768,0.1037768,6.679208333,16.71041667,NA,NA,NA,1.4
2012-08-25,454000,0.1142835,0.1142835,6.697020833,16.40635417,NA,NA,NA,1.4
2012-08-26,454000,0.109934,0.109934,6.73146875,16.09385417,4,NA,17.19,1.4
2012-08-27,454000,0.0968344,0.0968344,6.706020833,15.1640625,NA,NA,NA,1.4
2012-08-28,454000,0.0974935,0.0974935,6.815208333,14.71,NA,NA,NA,1.4
2012-08-29,454000,0.1575719,0.1575719,6.726802083,13.944375,NA,NA,NA,1.4
2012-08-30,454000,0.1707907,0.1707907,6.788697917,13.923125,NA,NA,NA,1.4
2012-08-31,454000,0.1571749,0.1571749,6.748875,13.62875,NA,NA,NA,1.4
2012-09-01,454000,0.1271178,0.1271178,6.755770833,13.62197917,NA,NA,NA,1.4
2012-09-02,454000,0.0999733,0.0999733,6.774760417,14.19072917,NA,NA,NA,1.4
2012-09-03,454000,0.0775832,0.0775832,6.778552083,13.80510417,4,NA,NA,1.4
2012-09-04,454000,0.0653343,0.0653343,6.830958333,14.1196875,NA,NA,NA,1.4
2012-09-05,454000,0.0510046,0.0510046,6.869020833,13.39697917,NA,NA,NA,1.4
2012-09-06,454000,0.0417491,0.0417491,6.871666667,12.39604167,NA,NA,NA,1.4
2012-09-07,454000,0.0354411,0.0354411,6.897552083,12.03489583,NA,2.4,NA,1.4
2012-09-08,454000,0.0298108,0.0298108,6.906916667,11.6765625,NA,NA,NA,1.4
2012-09-09,454000,0.0261609,0.0261609,6.880791667,11.3,NA,NA,NA,1.4
2012-09-10,454000,0.0247909,0.0247909,6.898864583,11.51416667,6,NA,NA,1.4
2012-09-11,454000,0.02786,0.02786,6.908135417,11.65166667,NA,NA,NA,1.4
2012-09-12,454000,0.0302154,0.0302154,6.983192204,11.1227789,NA,NA,NA,1.4
2012-09-13,454000,0.031047,0.031047,6.972520161,10.83842742,NA,NA,NA,1.4
2012-09-14,454000,0.0357603,0.0357603,6.965745968,10.64681452,NA,NA,NA,1.4
2012-09-15,454000,0.0384851,0.0384851,6.958971774,10.45520161,NA,NA,NA,1.4
2012-09-16,454000,0.03835,0.03835,6.952197581,10.26358871,7,NA,NA,1.4
2012-09-17,454000,0.0397019,0.0397019,6.946736895,10.12110551,NA,NA,NA,1.4
2012-09-18,454000,0.0419988,0.0419988,7.017729167,9.7546875,NA,NA,NA,1.4
2012-09-19,454000,0.0413353,0.0413353,6.993989583,9.694375,NA,NA,NA,1.4
2012-09-20,454000,0.0385054,0.0385054,7.021802083,9.405729167,NA,NA,NA,1.4
2012-09-21,454000,0.0347706,0.0347706,7.05690625,8.869895833,NA,NA,NA,1.4
2012-09-22,454000,0.0307814,0.0307814,7.324479167,8.458854167,NA,NA,NA,1.4
2012-09-23,454000,0.0272583,0.0272583,7.958510417,8.120833333,NA,NA,NA,1.4
2012-09-24,454000,0.0249623,0.0249623,7.799895833,8.107833333,NA,NA,NA,1.4
2012-09-25,454000,0.0259662,0.0259662,7.781208333,7.93834375,8,NA,12.96,1.4
2012-09-26,454000,0.1409082,0.1409082,7.5250625,7.750166667,NA,NA,NA,1.4
2012-09-27,454000,0.2566598,0.2566598,7.391739583,7.803322917,NA,2.2,NA,1.4
2012-09-28,454000,0.2199991,0.2199991,7.414054825,7.817953399,NA,NA,NA,1.4
2012-09-29,454000,0.1713196,0.1713196,7.343361842,7.810848684,NA,NA,NA,1.4
2012-09-30,454000,0.1340619,0.1340619,7.268519737,7.883164474,NA,NA,NA,1.4
2012-10-01,454000,0.1093454,0.1093454,7.236438596,8.017741776,NA,NA,NA,1.4
2012-10-02,454000,0.0902529,0.0902529,7.3425,8.013208333,3,NA,NA,1.4
2012-10-03,454000,0.0962235,0.0962235,7.428833333,7.812072917,NA,NA,NA,1.4
2012-10-04,454000,0.1595468,0.1595468,7.542885417,7.68815625,NA,NA,NA,1.4
2012-10-05,454000,0.1616812,0.1616812,7.16215625,7.510104167,NA,NA,NA,1.4
2012-10-06,454000,0.1377628,0.1377628,6.907989583,7.151677083,NA,NA,NA,1.4
2012-10-07,454000,0.1141658,0.1141658,6.712192708,6.751791667,5,NA,NA,1.4
2012-10-08,454000,0.0928922,0.0928922,6.221942708,6.2879375,NA,NA,NA,1.4
2012-10-09,454000,0.0789595,0.0789595,5.930041667,5.98653125,NA,NA,NA,1.4
2012-10-10,454000,0.0673621,0.0673621,5.584145833,5.933791667,NA,NA,NA,1.4
2012-10-11,454000,0.0575996,0.0575996,5.325010417,5.561697917,NA,NA,NA,1.4
2012-10-12,454000,0.0500007,0.0500007,5.009510417,5.188760417,NA,NA,NA,1.4
2012-10-13,454000,0.0443174,0.0443174,4.899239583,4.9646875,NA,NA,NA,1.4
2012-10-14,454000,0.0414699,0.0414699,4.648302083,4.7016875,NA,NA,NA,1.4
2012-10-15,454000,0.0481342,0.0481342,4.2236875,4.23890625,9,NA,NA,1.4
2012-10-16,454000,0.0545468,0.0545468,4.060203125,4.049322917,NA,NA,NA,1.4
2012-10-17,454000,0.0918366,0.0918366,4.000265625,3.991208333,NA,NA,NA,1.4
2012-10-18,454000,0.1694908,0.1694908,4.041604167,4.040520833,NA,NA,NA,1.4
2012-10-19,454000,0.3440517,0.3440517,4.109604167,4.076572917,NA,NA,NA,1.4
2012-10-20,454000,0.3165975,0.3165975,4.104270833,4.015239583,NA,NA,NA,1.4
2012-10-21,454000,0.2704347,0.2704347,4.063208333,3.992385417,5,NA,NA,1.4
2012-10-22,454000,0.2208344,0.2208344,3.989197917,3.875541667,NA,NA,NA,1.4
2012-10-23,454000,0.1743603,0.1743603,3.920791667,3.597791667,NA,NA,NA,1.4
2012-10-24,454000,0.1465486,0.1465486,3.87328125,3.418291667,NA,NA,NA,1.4
2012-10-25,454000,0.1213789,0.1213789,3.831375,3.41171875,NA,NA,NA,1.4
2012-10-26,454000,0.0985365,0.0985365,3.783,3.238072917,NA,NA,NA,1.4
2012-10-27,454000,0.0819729,0.0819729,3.622666667,2.999520833,NA,NA,NA,1.4
2012-10-28,454000,0.069024,0.069024,3.715770833,2.976833333,NA,NA,NA,1.4
2012-10-29,454000,0.069597,0.069597,3.783364583,3.038614583,NA,NA,NA,1.4
2012-10-30,454000,0.0616082,0.0616082,3.8405,3.044479167,4,1.2,10.26,1.4
2012-10-31,454000,0.0565683,0.0565683,3.893895833,3.105822917,NA,NA,NA,1.4
2012-11-01,454000,0.0675847,0.0675847,3.907489583,3.1038125,NA,NA,NA,1.4
2012-11-02,454000,0.1061375,0.1061375,3.91265625,3.107916667,NA,NA,NA,1.4
2012-11-03,454000,0.156883,0.156883,3.898010417,3.0915,NA,NA,NA,1.4
2012-11-04,454000,0.2183399,0.2183399,3.910604167,3.0741875,4,NA,NA,1.4
2012-11-05,454000,0.2172526,0.2172526,4.00740625,3.048322917,NA,NA,NA,1.4
2012-11-06,454000,0.184921,0.184921,3.989833333,3.0680625,NA,NA,NA,1.4
2012-11-07,454000,0.1512829,0.1512829,4.036635417,3.104041667,NA,NA,NA,1.4
2012-11-08,454000,0.1248618,0.1248618,4.00403125,3.136239583,NA,NA,NA,1.4
2012-11-09,454000,0.105865,0.105865,4.0080625,3.172916667,NA,NA,NA,1.4
2012-11-10,454000,0.1459303,0.1459303,4.017125,3.212864583,NA,NA,NA,1.4
2012-11-11,454000,0.7310119,0.7310119,3.978302083,2.534739583,5,NA,NA,1.4
2012-11-12,454000,0.8652336,0.8652336,3.96253125,2.022354167,NA,NA,NA,1.4
2012-11-13,454000,0.432022,0.432022,4.009979167,2.247270833,NA,NA,NA,1.4
2012-11-14,454000,0.2697143,0.2697143,3.968739583,2.482125,NA,NA,NA,1.4
2012-11-15,454000,0.2013537,0.2013537,4.030197917,2.650270833,NA,NA,NA,1.4
2012-11-16,454000,0.1587953,0.1587953,4.042322917,2.7653125,NA,NA,NA,1.4
2012-11-17,454000,0.135624,0.135624,4.06125,2.83109375,NA,NA,NA,1.4
2012-11-18,454000,0.1305315,0.1305315,4.063697917,2.858197917,8,NA,NA,1.4
2012-11-19,454000,0.1180464,0.1180464,4.0855625,2.89915625,NA,NA,NA,1.4
2012-11-20,454000,0.1064415,0.1064415,4.072625,2.90390625,NA,NA,NA,1.4
2012-11-21,454000,0.1612755,0.1612755,4.082697917,2.856104167,NA,NA,NA,1.4
2012-11-22,454000,0.4590164,0.4590164,4.063197917,2.405020833,NA,NA,NA,1.4
2012-11-23,454000,0.5368931,0.5368931,4.065708333,2.32571875,NA,NA,NA,1.4
2012-11-24,454000,0.469924,0.469924,4.091979167,2.21021875,5,NA,8.73,1.4
2012-11-25,454000,0.327733,0.327733,4.10296875,2.3599375,NA,NA,NA,1.4
2012-11-26,454000,0.2357621,0.2357621,4.1415,2.541333333,NA,NA,NA,1.4
2012-11-27,454000,0.18018,0.18018,4.166541667,2.677635417,NA,NA,NA,1.4
2012-11-28,454000,0.1421204,0.1421204,4.159520833,2.747770833,NA,NA,NA,1.4
2012-11-29,454000,0.1154588,0.1154588,4.1855625,2.803572917,NA,NA,NA,1.4
2012-11-30,454000,0.0947123,0.0947123,4.201604167,2.83146875,NA,NA,NA,1.4
2012-12-01,454000,0.0788709,0.0788709,4.206145833,2.850145833,NA,NA,NA,1.4
2012-12-02,454000,0.0666692,0.0666692,4.207166667,2.8468125,NA,NA,NA,1.4
2012-12-03,454000,0.0561896,0.0561896,4.216052083,2.8621875,4,NA,NA,1.4
2012-12-04,454000,0.0478109,0.0478109,4.2159375,2.8603125,NA,NA,NA,1.4
2012-12-05,454000,0.0414672,0.0414672,4.234770833,2.871645833,NA,NA,NA,1.4
2012-12-06,454000,0.0361155,0.0361155,4.245104167,2.860145833,NA,NA,NA,1.4
2012-12-07,454000,0.0314351,0.0314351,4.25315625,2.867708333,NA,NA,NA,1.4
2012-12-08,454000,0.0279283,0.0279283,4.259072917,2.854458333,NA,NA,NA,1.4
2012-12-09,454000,0.027102,0.027102,4.2663125,2.86271875,3,NA,NA,1.4
2012-12-10,454000,0.0256956,0.0256956,4.262135417,2.837802083,NA,NA,NA,1.4
2012-12-11,454000,0.0234557,0.0234557,4.26496875,2.8294375,NA,NA,NA,1.4
2012-12-12,454000,0.021434,0.021434,4.2674375,2.813864583,NA,NA,NA,1.4
2012-12-13,454000,0.0202388,0.0202388,4.28571875,2.820427083,NA,NA,NA,1.4
2012-12-14,454000,0.019445,0.019445,4.2864375,2.804385417,NA,NA,NA,1.4
2012-12-15,454000,0.0212322,0.0212322,4.296572917,2.80040625,NA,NA,NA,1.4
2012-12-16,454000,0.0262872,0.0262872,4.317427083,2.797,5,NA,NA,1.4
2012-12-17,454000,0.0290925,0.0290925,4.307416667,2.78071875,NA,NA,NA,1.4
2012-12-18,454000,0.0274151,0.0274151,4.323791667,2.7751875,NA,NA,NA,1.4
2012-12-19,454000,0.0251742,0.0251742,4.306229167,2.7475,NA,NA,NA,1.4
2012-12-20,454000,0.0233521,0.0233521,4.311697917,2.731395833,NA,NA,NA,1.4
2012-12-21,454000,0.0217838,0.0217838,4.335958333,2.74375,NA,NA,NA,1.4
2012-12-22,454000,0.0209735,0.0209735,4.32846875,2.725520833,NA,NA,NA,1.4
2012-12-23,454000,0.0219713,0.0219713,4.340520833,2.71434375,5,NA,NA,1.4
2012-12-24,454000,0.0255497,0.0255497,4.343510417,2.7011875,NA,NA,NA,1.4
2012-12-25,454000,0.0252877,0.0252877,4.349677083,2.690625,NA,NA,NA,1.4
