datetime,Rain
8/9/2012 0:00,0.2
8/10/2012 0:00,1.4
8/11/2012 0:00,0
8/12/2012 0:00,0.2
8/13/2012 0:00,0
8/14/2012 0:00,11.1
8/15/2012 0:00,0.3
8/16/2012 0:00,0.2
8/17/2012 0:00,0.7
8/18/2012 0:00,7.8
8/19/2012 0:00,5.8
8/20/2012 0:00,0.4
8/21/2012 0:00,12.6
8/22/2012 0:00,0.5
8/23/2012 0:00,2.2
8/24/2012 0:00,7
8/25/2012 0:00,1.9
8/26/2012 0:00,1.6
8/27/2012 0:00,0
8/28/2012 0:00,0
8/29/2012 0:00,23.3
8/30/2012 0:00,4.6
8/31/2012 0:00,11.7
9/1/2012 0:00,0.3
9/2/2012 0:00,0.6
9/3/2012 0:00,0
9/4/2012 0:00,1.3
9/5/2012 0:00,0
9/6/2012 0:00,0
9/7/2012 0:00,0.7
9/8/2012 0:00,0
9/9/2012 0:00,0.8
9/10/2012 0:00,0
9/11/2012 0:00,1.6
9/12/2012 0:00,13.1
9/13/2012 0:00,0.9
9/14/2012 0:00,1.9
9/15/2012 0:00,1.3
9/16/2012 0:00,0
9/17/2012 0:00,3
9/18/2012 0:00,0.2
9/19/2012 0:00,2.4
9/20/2012 0:00,0
9/21/2012 0:00,0.3
9/22/2012 0:00,0
9/23/2012 0:00,0
9/24/2012 0:00,0
9/25/2012 0:00,0.1
9/26/2012 0:00,25.1
9/27/2012 0:00,2.2
9/28/2012 0:00,0
9/29/2012 0:00,0.7
9/30/2012 0:00,0.3
10/1/2012 0:00,0.7
10/2/2012 0:00,0
10/3/2012 0:00,3.5
10/4/2012 0:00,11.3
10/5/2012 0:00,0
10/6/2012 0:00,0
10/7/2012 0:00,0
10/8/2012 0:00,0
10/9/2012 0:00,3.2
10/10/2012 0:00,0
10/11/2012 0:00,0
10/12/2012 0:00,0.1
10/13/2012 0:00,0.5
10/14/2012 0:00,0.7
10/15/2012 0:00,8.6
10/16/2012 0:00,2.6
10/17/2012 0:00,9.4
10/18/2012 0:00,1.9
10/19/2012 0:00,9.8
10/20/2012 0:00,1.1
10/21/2012 0:00,5.3
10/22/2012 0:00,0.7
10/23/2012 0:00,1.2
10/24/2012 0:00,1.2
10/25/2012 0:00,4.3
10/26/2012 0:00,1.8
10/27/2012 0:00,1.1
10/28/2012 0:00,0.5
10/29/2012 0:00,11.8
10/30/2012 0:00,0.7
10/31/2012 0:00,1.9
11/1/2012 0:00,10
11/2/2012 0:00,5.9
11/3/2012 0:00,9.9
11/4/2012 0:00,13.5
11/5/2012 0:00,0.9
11/6/2012 0:00,0
11/7/2012 0:00,0.2
11/8/2012 0:00,0
11/9/2012 0:00,0.9
11/10/2012 0:00,10
11/11/2012 0:00,16.7
11/12/2012 0:00,6
11/13/2012 0:00,0.5
11/14/2012 0:00,0
11/15/2012 0:00,0
11/16/2012 0:00,0
11/17/2012 0:00,0
11/18/2012 0:00,4.8
11/19/2012 0:00,0
11/20/2012 0:00,0.2
11/21/2012 0:00,0.9
11/22/2012 0:00,3.8
11/23/2012 0:00,4.6
11/24/2012 0:00,4.4
11/25/2012 0:00,0
11/26/2012 0:00,3.2
11/27/2012 0:00,4.2
11/28/2012 0:00,1.2
11/29/2012 0:00,0.5
11/30/2012 0:00,0.2
12/1/2012 0:00,0.2
12/2/2012 0:00,0
12/3/2012 0:00,0
12/4/2012 0:00,0
12/5/2012 0:00,0.3
12/6/2012 0:00,0
12/7/2012 0:00,0
12/8/2012 0:00,0
12/9/2012 0:00,2.9
12/10/2012 0:00,5.3
12/11/2012 0:00,0
12/12/2012 0:00,0
12/13/2012 0:00,0.5
12/14/2012 0:00,2
12/15/2012 0:00,2.3
12/16/2012 0:00,15.4
12/17/2012 0:00,10.7
12/18/2012 0:00,3.4
12/19/2012 0:00,0.4
12/20/2012 0:00,0
12/21/2012 0:00,0
12/22/2012 0:00,1.4
12/23/2012 0:00,2.2
12/24/2012 0:00,9.6
12/25/2012 0:00,2.8
12/26/2012 0:00,0.7
12/27/2012 0:00,0.2
12/28/2012 0:00,0
12/29/2012 0:00,10.5
12/30/2012 0:00,3.9
12/31/2012 0:00,0.6
1/1/2013 0:00,2.6
1/2/2013 0:00,0
1/3/2013 0:00,3.4
1/4/2013 0:00,0
1/5/2013 0:00,0.2
1/6/2013 0:00,0
1/7/2013 0:00,0
1/8/2013 0:00,0
1/9/2013 0:00,1
1/10/2013 0:00,0
1/11/2013 0:00,0
1/12/2013 0:00,0
1/13/2013 0:00,0
1/14/2013 0:00,0
1/15/2013 0:00,0.1
1/16/2013 0:00,0
1/17/2013 0:00,0
1/18/2013 0:00,0.1
1/19/2013 0:00,0.1
1/20/2013 0:00,0
1/21/2013 0:00,0.6
1/22/2013 0:00,0
1/23/2013 0:00,0
1/24/2013 0:00,0
1/25/2013 0:00,0
1/26/2013 0:00,0.6
1/27/2013 0:00,2.2
1/28/2013 0:00,9.1
1/29/2013 0:00,6.6
1/30/2013 0:00,7
1/31/2013 0:00,0
2/1/2013 0:00,0
2/2/2013 0:00,0
2/3/2013 0:00,0
2/4/2013 0:00,0
2/5/2013 0:00,4.3
2/6/2013 0:00,1.8
2/7/2013 0:00,0.4
2/8/2013 0:00,0
2/9/2013 0:00,0
2/10/2013 0:00,0.6
2/11/2013 0:00,0.9
2/12/2013 0:00,0.5
2/13/2013 0:00,0.3
2/14/2013 0:00,1.4
2/15/2013 0:00,2.7
2/16/2013 0:00,0.8
2/17/2013 0:00,1.5
2/18/2013 0:00,0
2/19/2013 0:00,3.2
2/20/2013 0:00,0
2/21/2013 0:00,0.1
