datetime,DOC,DOCwc
1995-04-10,1.69,1.65
1995-05-08,1.62,1.61
1995-06-12,2.17,1.99
1995-07-17,2.24,1.78
1995-08-14,2.68,2.07
1995-09-11,2.67,2.49
1995-10-16,2.5,2.61
1995-11-13,2.44,2.4
1996-05-06,2.1,1.94
2000-04-25,2.06,2.06
2000-05-08,1.74,1.77
2000-05-23,1.97,1.88
2000-06-12,2.2,2.03
2000-06-27,2.23,2.06
2000-07-18,2.16,1.97
2000-08-01,2.33,2.12
2000-08-14,2.22,2.15
2000-08-29,2.5,2.17
2000-09-11,2.43,2.17
2000-09-26,2.25,2.15
2000-10-10,2.18,2.02
2000-10-24,2.39,2.19
2001-04-23,2.16,2.08
2001-05-22,1.94,1.84
2001-06-04,1.82,1.73
2001-06-19,1.77,1.75
2001-07-16,2.38,2.52
2001-07-31,3.04,2.48
2001-08-13,4.59,3.71
2001-08-28,3.2,2.34
2001-09-10,2.82,2.2
2001-09-25,2.52,2.41
2001-10-09,2.03,2.04
2001-10-23,2.03,1.99
2001-11-05,2.26,2.26
2002-04-15,1.94,1.92
2002-04-30,2.09,1.97
2002-05-13,2.11,2.02
2002-05-29,2.11,1.96
2002-06-10,2.03,1.86
2002-06-25,2.06,2.03
2002-07-08,1.8,1.76
2002-08-06,2.24,2.04
2002-08-20,2.26,2.1
2002-09-03,2.34,2.31
2002-09-16,2.17,2.24
2002-10-01,2.22,2.29
2002-10-28,3.07,3.53
2002-11-12,1.94,1.93
2002-11-25,1.91,1.95
2003-04-21,1.8,1.82
2003-05-12,3.08,2.3
2003-06-09,1.82,1.93
2003-07-14,2.18,2
2003-08-11,2,1.88
2003-09-15,2.06,1.6
2003-10-14,2.33,1.85
2003-11-24,1.98,2.3
2004-04-12,1.44,1.34
2004-05-10,1.42,1.48
2004-05-24,7.41,3.36
2004-06-07,1.49,1.69
2004-06-21,1.71,1.47
2004-07-12,1.72,1.47
2004-07-28,1.64,1.41
2004-08-09,2.13,1.58
2004-08-23,1.67,1.54
2004-09-13,1.83,1.72
2004-10-12,2.15,2.17
2004-10-25,2.36,2.2
2004-11-08,2.1,2.02
2004-11-22,2.04,2.07
2005-04-25,1.58,1.52
2005-05-09,1.64,1.52
2005-06-13,1.73,1.77
2005-07-11,1.67,1.57
2005-08-08,2.13,1.88
2005-09-12,1.39,1.58
2005-10-24,1.5,1.57
2005-11-14,1.73,1.77
2006-04-10,1.45,1.41
2006-04-24,1.35,1.37
2006-05-08,1.77,1.64
2006-05-22,1.64,1.58
2006-06-12,1.85,1.71
2006-06-26,2.01,1.85
2006-07-11,3.09,2.58
2006-07-24,2.02,1.6
2006-08-07,2.24,1.85
2006-08-21,2.66,2.57
2006-09-11,2.43,2.29
2006-09-25,2.14,1.99
2006-10-10,1.96,2.08
2006-10-23,1.84,1.99
2006-11-13,1.87,1.79
2007-05-07,2,1.91
2007-06-11,1.33,1.31
2007-07-09,1.39,1.4
2007-08-13,1.4,1.35
2007-09-10,1.72,1.72
2007-10-09,1.59,1.68
2007-11-13,1.54,1.48
2008-04-15,1.5,1.5
2008-04-28,1.4,1.43
2008-05-13,1.4,1.43
2008-05-27,1.5,1.43
2008-06-10,1.6,1.5
2008-06-23,1.6,1.53
2008-07-15,1.6,1.6
2008-08-12,1.9,2.2
2008-09-10,2,2.07
2008-10-15,2.1,2
2008-11-12,2,1.97
2009-04-14,1.8,1.73
2009-05-12,1.6,1.63
2009-06-16,2,1.9
2009-07-15,1.9,1.93
2009-08-11,2,2.3
2009-09-15,1.8,1.97
2009-10-14,2.1,2.1
2009-11-09,2.1,2
2010-04-13,1.9,1.87
2010-05-11,1.4,1.47
2010-06-15,1.7,1.7
2010-07-13,1.8,1.77
2010-08-10,1.6,1.6
2010-09-14,1.7,1.7
2010-10-13,2.3,2.27
2010-11-09,2.4,2.4
2011-04-25,1.7,1.6
2011-05-10,2,1.8
2011-06-14,1.8,1.6
2011-07-12,1.7,1.8
2011-08-09,1.8,1.73
2011-09-06,1.9,2.3
2011-10-12,2.5,2.33
2011-11-15,2,2.07
2012-04-10,1.5,1.53
2012-05-15,1.4,1.47
2012-06-13,1.7,1.57
2012-07-10,1.7,1.57
2012-08-14,2,1.77
2012-09-11,1.7,1.73
2012-10-10,1.8,1.8
2012-11-14,1.9,1.9
2013-04-16,1.5,1.53
2013-05-14,1.5,1.47
2013-06-11,2.1,1.97
2013-07-09,2.6,2.23
2013-09-11,2.2,2.4
2013-10-16,2.4,2.37
2013-11-12,2.2,2.2
2014-04-22,2.4,2.2
2014-05-12,2,1.9
2014-06-10,2.3,2.07
2014-07-16,2.5,2.33
2014-08-12,2.4,2.27
2014-09-09,2.1,2.1
2014-10-14,1.9,1.9
2014-11-12,1.7,1.77
2015-04-21,1.8,1.73
2015-05-12,1.6,1.53
2015-06-10,2,1.83
2015-06-29,2.1,1.93
2015-07-13,2,1.8
2015-07-28,2.1,2.03
2015-08-12,2.2,1.93
2015-09-09,2.1,2.13
2015-09-23,1.7,1.83
2015-10-06,1.8,1.77
2015-10-21,1.5,1.57
2015-11-04,1.7,1.77
2016-04-12,1.5,1.57
2016-05-10,1.6,1.6
2016-06-07,2.1,1.93
2016-06-21,1.8,1.77
2016-07-06,2,2.03
2016-07-20,2,1.73
2016-08-02,2.1,1.8
2016-08-30,2.2,1.9
2016-09-13,2.1,1.73
2016-09-27,1.9,2
2016-10-12,2,1.97
2016-10-25,2.2,2.1
