datetime,DOC
2012-08-09,10.53
2012-08-13,10.44
2012-08-19,9.99
2012-08-26,10.71
2012-09-03,10.89
2012-09-10,9.81
2012-09-16,9.54
2012-09-25,8.91
2012-10-02,9.81
2012-10-07,9.99
2012-10-15,10.17
2012-10-21,10.17
2012-10-30,10.8
2012-11-04,11.07
2012-11-11,10.35
2012-11-18,10.35
2012-11-24,9.54
2012-12-03,9.45
2012-12-09,10.26
2012-12-16,10.98
2012-12-23,10.89
2012-12-30,10.71
2013-01-06,10.35
2013-01-15,10.35
2013-01-20,10.08
2013-01-27,9.9
2013-02-02,10.62
2013-02-04,10.17
2013-02-10,9.36
2013-02-18,9.36
2013-02-25,9.45
2013-03-03,9.27
2013-03-10,9.9
2013-03-17,9.63
2013-03-25,9.18
2013-04-01,9.9
2013-04-07,9.99
2013-04-14,10.08
2013-04-21,9.9
2013-04-29,8.1
2013-05-05,7.56
2013-05-12,8.1
2013-05-19,8.01
2013-05-26,8.46
2013-06-03,9.27
2013-06-09,9.09
2013-06-16,8.91
2013-06-23,9.36
2013-06-24,9.9
2013-06-30,10.35
2013-07-07,10.26
2013-07-14,10.08
2013-07-21,9.99
2013-07-29,9.09
2013-08-04,9.18
2013-08-11,9.54
2013-08-18,11.52
2013-08-25,10.62
2013-08-26,10.8
