datetime,wtr,DO_conc
2013-02-16,2.5,3.1
2013-02-17,2.5,3
2013-02-18,2.4,2.9
2013-02-19,2.4,3.1
2013-02-20,2.4,3.1
2013-02-21,2.4,2.9
2013-02-22,2.4,2.9
2013-02-23,2.4,2.9
2013-02-24,2.4,3.1
2013-02-25,2.4,2.9
2013-02-26,2.4,3.2
2013-02-27,2.4,2.8
2013-02-28,2.4,3.1
2013-03-01,2.3,3.8
2013-03-02,2.3,2.8
2013-03-03,2.3,3.3
2013-03-04,2.3,2.8
2013-03-05,2.3,3.5
2013-03-06,2.3,3.4
2013-03-07,2.3,3
2013-03-08,2.2,3.1
2013-03-09,2.2,3.2
2013-03-10,2.2,3.1
2013-03-11,2.2,3.3
2013-03-12,2.2,3.1
2013-03-13,2.2,3.2
2013-03-14,2.2,3
2013-03-15,2.2,2.7
2013-03-16,2.2,2.7
2013-03-17,2.2,2.3
2013-03-18,2.2,2.2
2013-03-19,2.1,2.7
2013-03-20,2.1,2.1
2013-03-21,2.1,2.7
2013-03-22,2.1,3
2013-03-23,2.1,3.3
2013-03-24,2.1,3.2
2013-03-25,2.1,3
2013-03-26,2,3
2013-03-27,2,3
2013-03-28,2,2.9
2013-03-29,2.1,2.9
2013-03-30,2,2.9
2013-03-31,2,3
2013-04-01,2,2.6
2013-04-02,2,2.5
2013-04-03,2,2.5
2013-04-04,2,2.3
2013-04-05,2,2.8
2013-04-06,2,3.1
2013-04-07,2,2.6
2013-04-08,2,2.5
2013-04-09,2,2.8
2013-04-10,2,2.5
2013-04-11,2,2.3
2013-04-12,2,2.4
2013-04-13,2,2.5
2013-04-14,2,2.3
2013-04-15,2,2.3
2013-04-16,2,2.3
2013-04-17,1.9,2.9
2013-04-18,1.7,3
2013-04-19,1.4,3.5
2013-04-20,1,4.1
2013-04-21,0.9,4.6
2013-04-22,1.1,4.7
2013-04-23,1.2,5
2013-04-24,1.4,5.3
2013-04-25,1.5,5.3
2013-04-26,1.7,4.8
2013-04-27,2,4.9
2013-04-28,2.2,4.4
2013-04-29,2.3,4.9
2013-04-30,2.4,4.9
2013-05-01,2.7,4.6
2013-05-02,2.8,3.3
2013-05-03,3,4.2
2013-05-04,3.1,5
2013-05-05,3.2,5
2013-05-06,3.5,4.9
2013-05-07,4,5.1
2013-05-08,4.4,5.1
2013-05-09,4.2,5.9
2013-05-10,3.9,4.8
2013-05-11,4.1,6.5
2013-05-12,4.6,7
2013-05-13,4.7,8.2
2013-05-14,4.8,8.2
2013-05-15,5.1,8.7
2013-05-16,5.2,8.8
2013-05-17,5.5,8.4
2013-05-18,6.2,8.7
2013-05-19,7.8,9
2013-05-20,9.8,9.1
2013-05-21,11,8.8
2013-05-22,11.1,8.4
2013-05-23,9,9.1
2013-05-24,9,9.1
2013-05-25,8.8,9.4
2013-05-26,9.8,9.6
2013-05-27,11,9.5
2013-05-28,12.4,9
2013-05-29,11.4,9.3
2013-05-30,12.4,9.1
2013-05-31,12.7,9.1
2013-06-01,14.2,8.8
2013-06-02,14.7,8.7
2013-06-03,14,8.8
2013-06-04,13.7,8.9
2013-06-05,13.4,8.9
2013-06-06,13.8,8.8
2013-06-07,14.2,8.8
2013-06-08,14.4,8.9
2013-06-09,14.6,8.8
2013-06-10,14.2,8.7
2013-06-11,15.6,8.5
2013-06-12,16,8.3
2013-06-13,14.9,8.3
2013-06-14,14.9,8.4
2013-06-15,14.8,8.4
2013-06-16,15.3,8.2
2013-06-17,15.8,8.3
2013-06-18,16.4,8.1
2013-06-19,17.7,7.7
2013-06-20,18,7.6
2013-06-21,18.4,7.3
2013-06-22,17,7.4
2013-06-23,16,7.9
2013-06-24,15.3,7.7
2013-06-25,15.2,7.9
2013-06-26,15.3,8.1
2013-06-27,13.9,8
2013-06-28,13.8,8.1
2013-06-29,13.4,8.1
2013-06-30,13.2,8.1
2013-07-01,13.9,8.3
2013-07-02,14,8.3
2013-07-03,14.3,8.2
2013-07-04,14.2,8.2
2013-07-05,15.1,8.1
2013-07-06,15.9,8.1
2013-07-07,18.2,8
2013-07-08,16.9,8.1
2013-07-09,17.7,7.9
2013-07-10,16.6,7.9
2013-07-11,17.1,7.2
2013-07-12,18.2,6.2
2013-07-13,19.7,6.3
2013-07-14,18.4,7.1
2013-07-15,17.4,7.4
2013-07-16,16.6,6.6
2013-07-17,16.9,6.5
2013-07-18,17.1,6.8
2013-07-19,17.3,7.1
2013-07-20,17.9,6.8
2013-07-21,18.3,7.1
2013-07-22,19.9,7.3
2013-07-23,20.6,7
2013-07-24,20.7,6.8
2013-07-25,21,6.7
2013-07-26,21.4,6.7
2013-07-27,22.1,6.5
2013-07-28,21.6,6.3
2013-07-29,20.6,6
2013-07-30,20,6.5
2013-07-31,19.3,6.5
2013-08-01,18.7,6.6
2013-08-02,19.5,6.6
2013-08-03,19.3,6.6
2013-08-04,18.6,7
2013-08-05,18.3,7
2013-08-06,17.6,7.1
2013-08-07,17.2,7.2
2013-08-08,17.4,6.9
2013-08-09,16.9,6.8
2013-08-10,17,7.1
2013-08-11,16.8,7.1
2013-08-12,16.3,7.1
2013-08-13,15.7,7.3
2013-08-14,15,7.4
2013-08-15,15.9,7.2
2013-08-16,15.9,7.4
2013-08-17,15.6,7.2
2013-08-18,15.2,7.4
2013-08-19,14.7,7.6
2013-08-20,14.7,7.6
2013-08-21,14.6,7.4
2013-08-22,14.5,7.4
2013-08-23,15.2,7.6
2013-08-24,16,7.5
2013-08-25,16.5,7.6
2013-08-26,16.2,7.6
