datetime,Rain
7/31/13,0
8/1/13,0
8/2/13,3
8/3/13,0
8/4/13,0
8/5/13,1.5
8/6/13,0
8/7/13,0
8/8/13,0
8/9/13,0
8/10/13,0
8/11/13,3
8/12/13,0
8/13/13,0
8/14/13,0
8/15/13,0
8/16/13,0
8/17/13,0
8/18/13,0
8/19/13,0
8/20/13,0
8/21/13,0
8/22/13,31.2
8/23/13,0
8/24/13,0
8/25/13,0
8/26/13,0
8/27/13,0
8/28/13,0
8/29/13,0
8/30/13,0
8/31/13,0
9/1/13,0
9/2/13,0
9/3/13,0
9/4/13,0
9/5/13,0
9/6/13,0
9/7/13,0
9/8/13,0
9/9/13,0
9/10/13,0
9/11/13,6.6
9/12/13,0
9/13/13,0
9/14/13,0
9/15/13,17.8
9/16/13,0
9/17/13,1.5
9/18/13,1.5
9/19/13,49.3
9/20/13,0
9/21/13,0
9/22/13,0
9/23/13,0
9/24/13,0
9/25/13,0
9/26/13,0
9/27/13,0
9/28/13,4.3
9/29/13,0
9/30/13,0
10/1/13,0
10/2/13,0
10/3/13,0
10/4/13,15.5
10/5/13,3.8
10/6/13,0.8
10/7/13,0.3
10/8/13,0
10/9/13,0
10/10/13,0
10/11/13,0
10/12/13,1
10/13/13,0
10/14/13,0
10/15/13,5.8
10/16/13,0.8
10/17/13,2.3
10/18/13,0
10/19/13,0.8
10/20/13,2.3
10/21/13,0
10/22/13,0
10/23/13,0
10/24/13,0
10/25/13,0
10/26/13,0
10/27/13,0
10/28/13,0
10/29/13,0
10/30/13,0.3
10/31/13,14.5
11/1/13,1
11/2/13,0
11/3/13,0
11/4/13,0.3
11/5/13,10.2
11/6/13,7.4
11/7/13,0
11/8/13,0
11/9/13,0
11/10/13,0
11/11/13,3
11/12/13,0
11/13/13,0
11/14/13,0.3
11/15/13,0
11/16/13,4.1
11/17/13,23.6
11/18/13,0
11/19/13,0
11/20/13,1
11/21/13,0
11/22/13,1.5
11/23/13,0
11/24/13,0
11/25/13,3.6
11/26/13,0
11/27/13,0
11/28/13,0
11/29/13,0
11/30/13,0
12/1/13,0
12/2/13,3.6
12/3/13,1.5
12/4/13,2
12/5/13,0
12/6/13,0
12/7/13,0
12/8/13,5.3
12/9/13,0.5
12/10/13,0.3
12/11/13,0
12/12/13,0
12/13/13,0
12/14/13,0.3
12/15/13,0
12/16/13,5.3
12/17/13,0.5
12/18/13,0
12/19/13,1
12/20/13,0.5
12/21/13,0
12/22/13,12.4
12/23/13,0.3
12/24/13,1.8
12/25/13,2.3
12/26/13,0
12/27/13,0
12/28/13,0
12/29/13,0
12/30/13,1.3
12/31/13,2.3
1/1/14,0
1/2/14,0
1/3/14,0
1/4/14,0
1/5/14,0
1/6/14,0
1/7/14,0
1/8/14,0
1/9/14,0
1/10/14,4.1
1/11/14,0
1/12/14,0
1/13/14,0
1/14/14,2.3
1/15/14,0
1/16/14,2
1/17/14,0
1/18/14,0.8
1/19/14,0
1/20/14,0
1/21/14,0
1/22/14,0.3
1/23/14,0
1/24/14,0.8
1/25/14,0
1/26/14,4.6
1/27/14,0
1/28/14,0
1/29/14,0
1/30/14,1.8
1/31/14,0
2/1/14,4.1
2/2/14,0
2/3/14,0
2/4/14,0
2/5/14,0.8
2/6/14,0
2/7/14,0
2/8/14,1.5
2/9/14,0
2/10/14,0
2/11/14,0
2/12/14,1.3
2/13/14,2
2/14/14,0
2/15/14,0.5
2/16/14,0
2/17/14,6.9
2/18/14,0
2/19/14,0
2/20/14,12.4
2/21/14,0
2/22/14,0
2/23/14,0
2/24/14,0
2/25/14,0
2/26/14,0.3
2/27/14,0.3
2/28/14,1.5
3/1/14,1.8
3/2/14,0
3/3/14,0
3/4/14,5.6
3/5/14,3.8
3/6/14,0
3/7/14,0
3/8/14,0
3/9/14,0
3/10/14,0
3/11/14,1
3/12/14,0
3/13/14,0
3/14/14,0
3/15/14,0
3/16/14,0
3/17/14,0
3/18/14,3
3/19/14,2.8
3/20/14,0
3/21/14,0
3/22/14,0
3/23/14,0
3/24/14,1.3
3/25/14,0.8
3/26/14,0
3/27/14,11.2
3/28/14,0.8
3/29/14,0
3/30/14,0
3/31/14,0
4/1/14,0
4/2/14,0
4/3/14,0
4/4/14,3.6
4/5/14,0
4/6/14,0
4/7/14,3.3
4/8/14,0
4/9/14,0
4/10/14,0
4/11/14,0
4/12/14,1.8
4/13/14,66.8
4/14/14,9.7
4/15/14,0
